FEATURE,soilid,Rowid_,MASK,X,Y,SLP,WETM,TANCURV,PROFCRV,PLNC,CRV,MAXCRV,MINCRV
Colonel,2,57,56,287983.61254900000,4978489.80199000000,12.06713000000,5.19133800000,0.00040929890,0.02405181000,0.00341645600,-0.02746826000,-0.00278600400,-0.02414171000
Cabot,1,58,57,288583.13536700000,4978463.91464000000,5.72985000000,7.27493000000,-0.00014819190,0.02641823000,-0.00259055600,-0.02382767000,0.00416441400,-0.02786676000
Cabot,1,59,58,287990.08448600000,4978639.68300000000,8.25726400000,6.26295100000,-0.00115700600,0.00508676900,-0.01405966000,0.00897289200,0.01818358000,-0.00920679400
Colonel,2,60,59,288739.48757000000,4978607.32307000000,5.67804900000,4.09009700000,0.00205377800,-0.03899974000,0.03622875000,0.00277099600,0.04412170000,-0.04148030000
Dixfield,3,61,60,288889.36773000000,4978600.85112000000,15.57332000000,3.59634600000,-0.01698115000,-0.06351354000,-0.11035440000,0.17386790000,0.10880670000,0.06150445000
Dixfield,3,62,61,289039.24773700000,4978594.37918000000,6.04310600000,2.72044700000,-0.02449525000,-0.11825960000,-0.40608160000,0.52434120000,0.43746000000,0.08549684000
Dixfield,3,63,62,289189.12759200000,4978587.90726000000,16.76195000000,2.01503100000,-0.01708694000,0.03479442000,-0.10336100000,0.06856654000,0.10021320000,-0.03165223000
Cabot,1,64,63,289339.00729400000,4978581.43534000000,6.09992900000,7.14321800000,0.00349187600,0.05692703000,0.05735094000,-0.11427800000,-0.04458263000,-0.06927268000
Colonel,2,65,64,288596.07930200000,4978763.67542000000,1.43689100000,1.93697100000,0.00162155800,-0.00102012600,0.11286350000,-0.11184340000,0.01685579000,-0.12868780000
Colonel,2,66,65,288745.95960200000,4978757.20330000000,5.46649000000,5.05258000000,-0.00229496500,-0.05438764000,-0.04204510000,0.09643275000,0.05635216000,0.03977503000
Colonel,2,67,66,289345.47927900000,4978731.31496000000,11.14190000000,2.75636800000,0.01173687000,0.03494415000,0.10599170000,-0.14093590000,-0.01180946000,-0.12783380000
Colonel,2,68,67,289495.35881800000,4978724.84291000000,8.36444000000,6.34004700000,-0.00159190900,0.01116710000,-0.01909833000,0.00793122500,0.02686781000,-0.01888687000
Cabot,1,69,68,288152.90971700000,4978932.97266000000,6.76439000000,6.78080600000,0.00117168900,0.04327294000,0.01736101000,-0.06063395000,-0.01352468000,-0.04677437000
Colonel,2,70,69,288752.43178600000,4978907.08352000000,6.52183900000,3.62852800000,-0.00170211900,0.00417052100,-0.02615421000,0.02198369000,0.04714329000,-0.02518858000
