Northing,Easting,LS_Pos,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,elev_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m,Pred_Depth_5m_MLR,Pred_Depth_90m_MLR,Pred_Depth_5m_DT,Pred_Depth_90m_DT,Pred_Depth_5m_RF
4256946.38,526297.51,RT,182,74,150.730362,71,80,76,6.8579001,8.3291998,0.0407,2.2658999,4.1327,197.197006,7.8551998,8.40028,0.2072,0.6855,5.9679999,197.304993,10.8128004,7.59763,0.5166,0.3378,13.8771,195.876999,12.3304996,7.51718,0.7601,0.132,20.8530006,195.876999,149.8962584,126.4679648,136.375,121.95,164.4865
4256931.28,526293.98,RT,170,74,183.233536,134,111,102,7.1830001,6.8506999,0.02,2.5676999,4.3920002,197.332993,7.9840999,7.4571199,0.1647,1.1467,5.5632,197.070007,10.0718002,8.2450504,0.2502,0.644,13.6367998,196.453995,12.3304996,7.51718,0.7601,0.132,20.8530006,195.876999,155.962236,126.4679648,136.375,121.95,166.1155
4257081.27,526474.362,SS,86,86,92.086349,109,125,105,7.3218999,19.1075993,0.0705,0.1082,10.5506001,188.050995,7.9671998,19.7705002,0.0107,0.0038,10.8649998,188.643997,8.8550997,28.2224007,0.0011,0.0002,11.0151997,186.779007,12.5974998,6.1308498,2.5580001,0.0212,8.3170996,186.809006,93.66435818,136.6691238,100.1875,88.3,91.94583333
4256175.7,530018.445,SS,105,137,92.687592,134,111,102,8.0951004,14.3064003,0.1359,0.0738,20.1315994,202.610001,8.3247995,21.2754002,0.0016,0.0009,19.9480991,202.143997,8.9823999,25.3029003,0.0003,0.0027,20.9972992,202.981995,10.9825001,15.5278997,0.0589,0.1538,27.2140999,203.966995,89.86479383,106.8213198,100.1875,121.95,98.59183333
4256742.36,530687.313,SS,63,61,92.841629,122,77,77,7.3231001,15.8610001,0.052,0.2117,4.006,201.856003,8.3386002,15.1068001,0.0746,0.0808,3.9219,201.955002,10.8132,13.6316004,0.0623,0.2502,12.5384998,202.684998,11.6821003,10.4898996,0.6659,0.1207,8.2751999,198.199997,111.9046028,119.7747557,100.1875,88.3,79.47716667
4257816.65,530893.688,SS,160,64,102.280258,229,229,229,8.2929001,7.0114999,0.2465,5.5794001,2.1633,220.085007,8.9799995,7.2620602,0.7501,0.1617,3.6314001,220.089005,10.1705999,6.53583,0.5815,3.6754999,10.3530998,220.576996,12.2896996,1.51535,6.6079998,4.4421,33.5287018,222.235992,189.8313359,203.0732473,174.6,179.3846154,161.3485
4257776.58,532730.388,SS,104,137,93.562561,122,77,77,8.1239996,11.7537003,0.113,0.0987,3.2543001,236.899002,8.7007999,12.7307997,0.3688,0.0799,3.9574001,237.029007,9.8288002,13.7441998,0.1627,0.1206,11.6574001,236.529999,12.6834002,5.4191899,0.9493,0.0045,33.1632996,232.703995,121.2010776,130.5872904,100.1875,112.6923077,112.5671667
4258610.36,531125.417,SS,101,127,92.027184,109,125,105,8.3158998,20.6564999,0.0782,0.0856,4.7958002,207.865006,8.9651003,20.2905006,0.0297,0.0011,11.0717001,208.533005,11.1821003,16.6765003,0.4709,0.0006,19.5723991,206.828995,12.7516003,13.6630001,0.1847,0.2108,30.530899,211.281998,98.53499971,111.7585862,100.1875,121.95,103.1226667
4256589.85,529135.76,SS,140,127,92.756233,134,111,102,7.3241,17.1142006,0.0652,0.1339,4.0713,174.214996,8.1147003,16.3332005,0.0305,0.0539,4.4815998,173.873001,9.4735003,16.5298004,0.0277,0.024,3.8359001,172.164993,13.4315004,10.0541,0.9303,0.0075,1.023,168.110001,108.1620504,120.9188482,100.1875,140.5384615,115.5658333
4257728.02,528891.123,SS,80,137,92.206337,134,111,102,7.3740001,13.2874002,0.1426,0.0754,3.6338999,193.151993,8.0422001,13.6115999,0.5476,0.0361,4.5544,193.294998,11.9623003,9.3437901,0.8368,0.0463,17.9923,191.432007,11.2600002,15.5523005,0.255,0.0277,30.8913002,193.862,116.9096435,106.5854401,100.1875,88.3,90.83816667
