,FID,Northing,Easting,LS_Pos,SMU,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,elev_5m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m,Pred_Depth_5m_MLR,Pred_Depth_90m_MLR,Pred_Depth_5m_DT,Pred_Depth_90m_DT,Pred_Depth_5m_RF
24,23,4258363.547,526654.18,FP,St/Cu,200,201,190.77121,200,200,200,7.5468001,2.9509001,0.0926,2.8622,0.3269,10.4373999,3.6665299,0.3337,2.4679,0.3745,154.0390015,153.9579926,13.3627005,3.7667,2.9662001,1.8515,0.9053,154.621994,15.4997997,3.58724,6.9211001,0.158,0.8483,154.2810059,173.9312697,163.2271887,200,179.3846154,184.9063333
25,24,4258260.359,527014.014,FP,Cu,200,201,194.292602,200,200,200,10.2428999,0.83,3.8958001,1.6493,0.0508,13.7886,0.590573,2.9353001,1.8458,0.1225,154.1130066,154.0850067,16.7007008,1.25907,1.779,0.6955,0.1304,154.1580048,14.4953003,10.2926998,0.8141,0.0773,0.1741,154.0850067,166.7198311,120.4916085,200,140.5384615,194.333
26,25,4259706.159,525210.537,FP,Bu,125,137,170.181839,200,200,200,15.6212997,1.7402,2.9826,0.021,0,15.6241999,1.93811,2.9215,0.0475,0,161.2429962,161.2409973,14.8176003,6.7611499,1.7454,0.0105,0,161.3930054,12.7966995,7.2583699,0.9299,0.0046,2.0097001,165.2980042,148.0244084,126.6866847,136.375,112.6923077,127.9901667
27,26,4259953.545,525041.203,FP,GoF,90,86,167.438828,71,80,76,15.9068003,2.0102999,1.9608001,0.004,0,14.7376003,12.3734999,0.8147,0.0025,0,168.4570007,168.3760071,14.6527004,15.6805,0.3054,1.00E-04,0,168.4570007,14.6787004,3.16576,1.7981,0.0103,1.9535,167.9570007,147.2364872,139.2192312,136.375,112.6923077,111.0093333
28,27,4259948.09,527225.773,FP,St,200,201,184.364822,200,200,200,18.0123005,0.98,3.9631,0.3525,0,17.0279999,0.42033,2.9879999,0.1915,0,154.7940063,154.8119965,18.2341995,0.496231,2.4956,0.0112,0,154.8009949,17.7483997,3.3919001,6.7145,0.0038,0,154.6779938,153.1518997,161.3485246,200,179.3846154,190.676
29,28,4256835,526239,FP,GID3,160,74,149.085693,71,80,76,11.6159,6.1476998,2.8151,0.0337,0,12.0858002,6.1068201,1.8935,0.0333,0,196.5379944,196.4349976,12.7103996,6.1859899,1.3983001,0.0115,11.1302996,196,12.3142004,7.9128599,0.3598,0.4654,25.6753998,200.4060059,138.1431598,126.6823057,136.375,121.95,150.7941667
30,29,4256778,526145,FP,WeC2/GID3,114,137,165.793991,127,109,95,8.7658997,7.5644002,2.7808001,3.395,3.4602001,9.7537003,6.82967,1.8243001,0.0498,7.0219002,202.3699951,202.3190002,11.5171003,6.09305,1.5928,0.0145,16.6571999,201.7720032,11.6849003,1.4482501,6.5639,1.4444,28.9102993,203.7140045,164.2238462,177.123164,136.375,179.3846154,141.0223333
31,30,4260568.204,530900.594,FP,HcgAH,110,201,169.02533,200,200,200,15.9835997,1.9002,3.892,0.0122,0,16.3052998,1.8954,2.9198999,0.0154,0,184.2039948,184.128006,16.5265999,1.43621,1.5855,0.0036,0,183.9859924,16.5772991,1.85695,0.9914,0.0024,0,183.9859924,147.5706968,138.146618,136.375,140.5384615,124.3478333
32,31,4260499.413,530868.844,FP,HcgAH,150,201,169.921997,200,200,200,16.2357006,1.7802,3.1452,0.0172,0,16.3449993,2.08377,2.7616999,0.026,0,182.8769989,182.9170074,16.7010002,3.12641,1.9327,0.0074,0,182.8769989,11.8246002,10.0641003,0.8684,0.0041,0.448,184.9109955,147.8945668,120.5835333,136.375,140.5384615,141.6236667
33,32,4257093.175,526404.248,RT,ZnC2,105,81,197.379578,201,178,152,7.2056999,4.4329,0.0316,3.7183001,11.9456997,8.1246996,4.0106802,0.1691,2.6003001,13.1637001,196.154007,196.0980072,10.0174999,2.1240399,0.0188,1.9692,18.8229008,196.595993,11.6243,7.1370902,1.3992,0.6098,19.7805004,196.2830048,161.9421655,134.326603,136.375,121.95,131.9955
