lid5m_slop,lid5m_cu,sagawi25m
0.719261,0.0022414,8.7061005
0.802405,0.0044439,7.7792001
1.01762,0.0099853,6.3983998
0.864815,0.0139615,6.1644001
0.594867,0.0066373,7.2807002
0.546205,0.0015025,7.1273999
0.570681,0.0023852,6.4815001
0.594366,0.0036987,6.2465
0.626801,0.0084693,6.0702
0.579789,0.0121841,5.993
0.664034,0.0095121,6.0402999
0.726535,0.0032586,6.3864999
0.691899,-0.0064653,6.8873
1.18329,-0.0305321,7.7881999
1.3348,-0.027224,7.0583
1.36917,-0.0091613,6.6704001
1.38817,-0.0189453,6.5668001
1.37699,-0.0217947,6.8780999
1.39416,-0.010164,6.6108999
1.3332601,-0.0073014,6.2737999
1.22693,-0.0069266,6.4506998
1.15175,-0.006536,6.7048998
1.09513,-0.0042281,6.467
0.993837,-0.0035612,6.3023
0.861158,-0.0055202,6.5012999
0.767064,-0.0074387,6.7364998
0.73951,-0.0062854,6.9945998
0.69308,-0.0046401,7.0907998
0.661094,-0.0049759,7.2309999
0.706127,-0.0040947,7.1427999
0.733431,-0.0001907,6.8378
0.590389,0.0032254,7.1065998
0.442213,0.0003639,7.6823001
0.479605,-0.0021294,7.4931998
0.599574,-0.0007613,7.2979999
0.681315,0.0016853,7.3601999
0.691291,0.0005347,7.5932002
0.765795,-0.0027054,7.2168999
0.924243,-0.0043067,6.3284001
1.03833,-0.0033292,5.6096001
1.05454,-0.0001039,5.4601002
0.978146,0.0004452,5.7219
0.691808,-0.006224,6.6877999
0.573974,-0.0047066,6.9319
0.66176,0.0007746,7.1135001
0.862211,-0.0039532,7.7146001
0.860527,-0.006684,8.7178001
0.642374,-0.007008,8.9916
0.697057,-0.0079775,8.8118
0.918399,-0.0033574,8.2068996
0.926187,0.0078907,7.1662002
0.579962,0.0153373,6.7006998
0.456022,0.0058426,7.1855001
0.466924,-0.002124,7.2399001
0.504044,-0.0022772,6.7568998
0.564694,-0.001216,6.3723001
0.631849,0.0040691,6.1924
0.526189,0.0095011,6.0479999
0.495349,0.0091387,6.0281
0.598464,0.0036333,6.4134002
0.635489,-0.0066973,6.7922001
0.481024,0.0043613,6.5521002
1.2635,-0.0054426,6.9689999
1.4139301,-0.0030173,6.8204002
1.59911,-0.0120853,6.7312999
1.68964,-0.0025733,6.5244002
1.71055,-0.00504,6.5380001
1.66825,-0.0066213,6.8523002
1.65785,-0.00356,6.5214
1.6253999,-0.0038412,6.2224002
1.50342,-0.0068333,6.4816999
1.3343,-0.0087266,6.7154002
1.2429301,-0.0079908,6.4313998
1.18099,-0.0089947,6.3113999
1.09474,-0.0119813,6.5001998
1.01278,-0.0132279,6.6121998
0.923289,-0.0112012,6.8320999
0.811454,-0.0094094,7.046
0.740236,-0.0098226,6.9556999
0.747424,-0.0078401,7.2224998
0.733866,-0.0030706,6.9622998
0.592489,-0.0000985,6.8413
0.502697,-0.0038934,7.3197999
0.55844,-0.0066442,7.5423999
0.658996,-0.004392,7.402
0.676647,-0.0004385,7.3460002
0.640083,-0.0005439,7.4959998
0.793477,-0.0010854,7.651
0.992031,0.0025867,7.0472002
1.09515,0.0076761,6.3429999
1.1761,0.0136934,6.1066999
1.05102,0.0148933,6.6989002
0.843363,0.0042041,6.6852999
0.745196,-0.0011174,6.4745998
0.822797,0.0017039,6.2171998
0.808114,0.0024414,7.1563001
0.947362,0.0014666,7.8074999
0.962859,-0.0034946,8.6701002
0.662336,-0.0108572,9.0789003
0.816087,-0.0093401,8.8993998
0.931184,0.0027986,7.8410001
0.538337,0.012768,7.1799002
0.410565,0.0044187,7.0242
0.478082,-0.0031294,6.8831
0.490251,-0.0035213,6.9489999
0.573753,-0.003688,6.4695001
0.659543,0.0010468,6.2234001
0.530546,0.00726,6.0911002
0.423147,0.0082001,6.0363002
0.50875,0.0029081,6.3827
0.58493,-0.0066161,6.6574001
0.464535,0.000352,6.4327998
1.17997,-0.0068772,7.0388999
1.27066,-0.0108747,6.4443002
1.33741,-0.01138,6.7908001
1.41728,0.0026346,6.6725998
1.49377,0.0041547,6.4809999
1.57433,0.0008867,6.5359998
1.59878,-0.0003147,6.8311
1.6071,0.0032466,6.4408002
1.6274,0.0016468,6.2030001
1.66091,-0.0027507,6.5525999
1.68603,-0.0050812,6.6694999
1.68177,-0.0050479,6.3807001
1.6636,-0.00724,6.3119998
1.61316,-0.0112146,6.4847002
1.54092,-0.0130587,6.5482001
1.38061,-0.0132681,6.7339001
1.16114,-0.0142626,7.0057998
0.974878,-0.0161106,6.7707
0.907938,-0.014416,7.0458002
0.857766,-0.0093747,7.0767999
0.743901,-0.005856,6.8758001
0.691574,-0.008812,7.0093002
0.712654,-0.0108508,7.3469
0.753486,-0.0080986,7.3235998
0.733465,-0.0036855,7.3120999
0.686187,-0.0033533,7.3280001
0.837169,-0.0022811,7.4452
0.88999,0.0039293,7.8288002
0.772151,0.0092307,7.4671001
0.696174,0.0149975,7.7138
0.220956,0.0170734,8.4300003
0.36146,0.0070015,7.5493999
0.688462,0.0005733,6.7642999
0.78763,0.002968,5.9920998
0.801144,0.0070907,6.2595
0.851411,0.0097255,7.0036001
0.846478,0.00444,8.3308001
0.624489,-0.0076267,8.8488998
0.625594,-0.0100586,9.3170004
0.937085,0.0010226,8.3575001
0.668495,0.01238,7.5311999
0.403285,0.006024,7.7427001
0.485244,-0.0004,7.4761
0.513554,-0.0018893,6.8576999
0.535333,-0.0053826,6.6855998
0.633046,-0.0030253,6.3559999
0.543302,0.0030013,6.1514001
0.433306,0.0053094,6.0314002
0.490826,0.0015188,6.2800999
0.606555,-0.0078266,6.5717001
0.495784,0.0009547,6.4109001
1.36763,-0.0095985,6.6025
1.36795,-0.0131228,6.1504002
1.37957,-0.01508,6.447
1.35163,-0.0035387,6.7895002
1.3479199,0.000764,6.6398001
1.3948801,0.0019747,6.4299998
1.44774,-0.0011414,6.5306001
1.48053,-0.0011345,6.8037
1.52257,0.0044919,6.3492999
1.53378,0.0041093,6.1964998
1.53686,0.0011999,6.6020002
1.57415,0.0010959,6.6005001
1.60905,0.0027585,6.3477001
1.69529,0.0016211,6.3101001
1.78944,-0.0017134,6.4698
1.83287,-0.0039828,6.5254998
1.7729599,-0.0076826,6.7497001
1.67188,-0.0125146,7.0393
1.58389,-0.0161054,6.6166
1.4606,-0.01648,6.8253999
1.30549,-0.013428,7.053
1.1513799,-0.0105213,6.9347
1.05812,-0.0124627,6.8752999
0.994117,-0.0137414,7.0903001
0.930198,-0.011228,7.2400999
0.840792,-0.0073439,7.1573
0.757206,-0.0071121,7.3130002
0.816596,-0.0062133,7.0962
0.740913,-0.0019718,7.2818999
0.52496,-0.0020733,7.8449001
0.428997,-0.0004066,7.9790001
0.340323,0.002224,7.7125001
0.400381,-0.00396,7.3395
0.647869,-0.0048306,6.6773
0.757225,0.0020974,5.8997002
0.837317,0.0082494,6.3947001
0.77143,0.0137907,7.2845998
0.696828,0.0093841,8.2875004
0.561329,-0.0061707,8.8922005
0.373466,-0.0114614,9.2693996
0.818573,-0.0017026,8.7306004
0.674983,0.0098867,8.0553999
0.341956,0.0058535,8.3318005
0.468525,0.001904,7.8909001
0.597618,0.0010827,6.8783002
0.614217,-0.0044,6.4703999
0.688766,-0.0056573,6.2484999
0.672944,-0.0015374,6.0651002
0.590674,0.002364,5.9695001
0.587892,0.0008026,6.1434999
0.644606,-0.00772,6.5044999
0.766735,-0.0002799,6.2676001
0.591062,-0.0002842,7.6282001
1.37863,-0.0031533,6.5595999
1.4386899,-0.0106906,6.0282998
1.4575599,-0.0019254,6.1115999
1.4536999,-0.0030147,6.4773998
1.41965,-0.0023692,6.8034
1.41766,0.000088,6.5799999
1.4536,-0.0000438,6.3797002
1.457,-0.0035586,6.5323
1.44117,-0.0031467,6.7656999
1.48895,0.0026521,6.2728
1.49622,0.0007868,6.2203999
1.43826,-0.0029906,6.6437001
1.41448,-0.0023639,6.5251002
1.42732,0.0001067,6.3109999
1.52868,0.0015334,6.2782001
1.67443,0.0026373,6.4503999
1.77349,0.004644,6.5264001
1.81436,0.0028534,6.7811999
1.85923,-0.00086,7.0356998
1.93252,-0.0030253,6.5023999
1.85693,-0.00468,6.7261
1.69629,-0.00564,7.0142999
1.56484,-0.0068241,6.9576001
1.4985501,-0.010076,6.8079
1.41382,-0.0126625,6.9401002
1.2672499,-0.0126667,7.1097002
1.07942,-0.011104,7.086
0.92308,-0.0116241,7.0716
0.839266,-0.010908,7.1304002
0.713719,-0.0070747,6.9071002
0.603313,-0.0065293,7.1750002
0.606549,-0.006156,7.2164998
0.598346,-0.0050759,7.4727998
0.581549,-0.0070933,7.3762002
0.679158,-0.0052198,6.7407999
0.806995,0.0019652,6.1170998
0.799232,0.0100561,7.1280999
0.572241,0.0165907,7.9558001
0.596963,0.0096879,8.4601002
0.577213,-0.0110627,8.7825003
0.348912,-0.0199374,8.8386002
0.663302,-0.0134921,8.6409998
0.624953,-0.0040386,8.5532999
0.503808,-0.0045935,8.5943003
0.691844,-0.0024787,7.9773002
0.608691,0.0032973,7.3990998
0.661614,0.0031293,6.9261999
0.746979,-0.0003318,6.1002998
0.782335,-0.0001359,5.868
0.753223,0.0042519,5.8202
0.715312,0.0022894,5.9535999
0.687199,-0.0105586,6.2839999
0.68913,0.0004693,6.4920001
0.804009,-0.005764,7.4295998
1.17037,-0.0032734,6.4920001
1.31713,-0.0080947,5.9358001
1.35508,-0.0010347,5.9119
1.32635,-0.0006789,6.1258001
1.34071,-0.0019293,6.5191998
1.40607,-0.0008919,6.7891002
1.49457,0.0016494,6.4959002
1.54386,0.0010428,6.3576999
1.54688,-0.0032186,6.5409002
1.50273,-0.0033345,6.7131
1.51151,0.0019401,6.2347999
1.55669,-0.0014813,6.2726002
1.57547,-0.0057186,6.6452999
1.62393,-0.0043906,6.4329
1.61774,-0.0027346,6.2624998
1.57292,-0.0012681,6.2371001
1.52536,0.0013962,6.4503002
1.49643,0.0048587,6.5576
1.49378,0.0038161,6.8137999
1.50713,0.0018614,7.0067
1.57375,0.0029187,6.4284
1.62445,0.0025841,6.7094998
1.65126,0.0010893,7.0008998
1.70237,-0.000128,6.9741001
1.8105,-0.0011614,6.7837
1.83157,-0.0035334,6.8926001
1.69752,-0.0065973,7.0499001
1.46913,-0.0089454,7.0250001
1.2573299,-0.0120452,6.9428
1.0800101,-0.0133639,6.9249001
0.927931,-0.011044,6.9141002
0.849793,-0.0085159,6.7054
0.790143,-0.0070654,6.6950002
0.709993,-0.006644,7.0615001
0.694341,-0.0065453,7.4759998
0.737209,-0.0048626,7.0549998
0.766789,0.0000694,6.7101998
0.601463,0.007764,7.2537999
0.237101,0.0128893,7.9945002
0.466608,0.0063612,8.3351002
0.522586,-0.0099121,8.8142996
0.884966,-0.0151453,8.4368
1.1714799,-0.0086225,7.7516999
0.946126,-0.0018148,8.0134001
0.593905,-0.0049906,8.5560999
0.645642,-0.0065201,8.5415001
0.656011,-0.0012188,8.0295
0.586859,0.0046719,7.2473998
0.610983,0.0028932,6.2343001
0.789937,0.0015348,5.7807999
0.848426,0.00636,5.6703
0.799011,0.0048054,5.7768998
0.792463,-0.0089107,6.0198998
0.822431,-0.0058001,6.5191998
1.18735,-0.0048974,7.1441998
1.22139,-0.0082825,6.5186
1.27719,-0.010396,6.0237999
1.34058,-0.0008773,5.7763
1.3457299,-0.0018813,5.8622999
1.29772,-0.0028666,6.1427999
1.28817,-0.0037319,6.5145998
1.35811,-0.0010627,6.7477002
1.4551001,0.00308,6.4405999
1.51088,0.0030093,6.3653002
1.54627,-0.0017493,6.5514002
1.52562,-0.0026732,6.6492
1.5284899,0.0021375,6.2160001
1.59286,-0.0013628,6.3150001
1.6481301,-0.0044002,6.6033001
1.71782,-0.0017734,6.3730001
1.69774,-0.0014759,6.2335
1.61938,-0.002152,6.2104001
1.54083,-0.0013707,6.4668002
1.4984,0.0000292,6.5998001
1.49632,-0.0028626,6.8385
1.48471,-0.0048225,6.9591999
1.4937,-0.0015639,6.3857002
1.51943,-0.0000056,6.6943998
1.54247,0.0000548,6.9877
1.57658,0.0015839,6.9886999
1.64897,0.0053094,6.7997999
1.66737,0.0053921,6.9115
1.64134,0.001392,7.0802002
1.62596,-0.0027092,7.0120001
1.60089,-0.0067893,6.8853998
